year,birth_country,Chemistry,Economics,Literature,Medicine,Peace,Physics
1901,Netherlands,1,,,,,
1901,France,,,1,,1,
1901,Prussia (Poland),,,,1,,
1901,Switzerland,,,,,1,
1901,Prussia (Germany),,,,,,1
1902,Prussia (Germany),1,,,,,
1902,Schleswig (Germany),,,1,,,
1902,India,,,,1,,
1902,Switzerland,,,,,2,
1902,Netherlands,,,,,,2
1903,Sweden,1,,,,,
1903,Norway,,,1,,,
1903,Faroe Islands (Denmark),,,,1,,
1903,United Kingdom,,,,,1,
1903,France,,,,,,2
1903,Russian Empire (Poland),,,,,,1
1904,Scotland,1,,,,,
1904,France,,,1,,,
1904,Spain,,,1,,,
1904,Russia,,,,1,,
1904,,,,,,1,
1904,United Kingdom,,,,,,1
1905,Prussia (Germany),1,,,,,
1905,Poland,,,1,,,
1905,Germany,,,,1,,
1905,Austrian Empire (Czech Republic),,,,,1,
1905,Hungary (Slovakia),,,,,,1
1906,France,1,,,,,
1906,Tuscany (Italy),,,1,,,
1906,Italy,,,,1,,
1906,Spain,,,,1,,
1906,United States of America,,,,,1,
1906,United Kingdom,,,,,,1
1907,Bavaria (Germany),1,,,,,
1907,British India (India),,,1,,,
1907,France,,,,1,1,
1907,Austrian Empire (Italy),,,,,1,
1907,Prussia (Poland),,,,,,1
1908,New Zealand,1,,,,,
1908,East Friesland (Germany),,,1,,,
1908,Russian Empire (Ukraine),,,,1,,
1908,Prussia (Poland),,,,2,,
1908,Sweden,,,,,1,
1908,Denmark,,,,,1,
1908,Luxembourg,,,,,,1
1909,Russian Empire (Latvia),1,,,,,
1909,Sweden,,,1,,,
1909,Switzerland,,,,1,,
1909,Belgium,,,,,1,
1909,France,,,,,1,
1909,Italy,,,,,,1
1909,Hesse-Kassel (Germany),,,,,,1
1910,Germany (Russia),1,,,,,
1910,Prussia (Germany),,,1,,,
1910,Mecklenburg (Germany),,,,1,,
1910,,,,,,1,
1910,Netherlands,,,,,,1
1911,Russian Empire (Poland),1,,,,,
1911,Belgium,,,1,,,
1911,Sweden,,,,1,,
1911,Netherlands,,,,,1,
1911,Austria,,,,,1,
1911,Prussia (Russia),,,,,,1
1912,France,2,,,1,,
1912,Prussia (Germany),,,1,,,
1912,United States of America,,,,,1,
1912,Sweden,,,,,,1
1913,France,1,,,1,,
1913,India,,,1,,,
1913,Belgium,,,,,1,
1913,Netherlands,,,,,,1
1914,United States of America,1,,,,,
1914,Austria,,,,1,,
1914,Germany,,,,,,1
1915,Germany,1,,,,,
1915,France,,,1,,,
1915,United Kingdom,,,,,,1
1915,Australia,,,,,,1
1916,Sweden,,,1,,,
1917,Denmark,,,2,,,
1917,,,,,,1,
1917,United Kingdom,,,,,,1
1918,Prussia (Poland),1,,,,,
1918,Schleswig (Germany),,,,,,1
1919,Switzerland,,,1,,,
1919,Belgium,,,,1,,
1919,United States of America,,,,,1,
1919,Germany,,,,,,1
1920,Prussia (Germany),1,,,,,
1920,Norway,,,1,,,
1920,Denmark,,,,1,,
1920,France,,,,,1,
1920,Switzerland,,,,,,1
1921,United Kingdom,1,,,,,
1921,France,,,1,,,
1921,Sweden,,,,,1,
1921,Norway,,,,,1,
