"country","averageIqByCountry_iqLynnBecker2019","averageIqByCountry_sourceLynnBecker2019","AverageIQ_ICI2017Grade","AverageIQ_ICI2017Score","OverallPisaScore2022","PISAScoresMathScore2022","PISAScoresScienceScore2022","PISAScoresReadingScore2022"
"India",76.24,"T","C-",29.4,,,,
"China",104.1,"T","B",47.3,1605,552,543,510
"United States",97.43,"T","A+",74.9,1468,465,499,504
"Indonesia",78.49,"T","D+",23.7,1108,366,383,359
"Pakistan",80,"T","D",19.6,,,,
"Nigeria",67.76,"T","D-",13.9,,,,
"Brazil",83.38,"T","C+",36.2,1192,379,403,410
"Bangladesh",74.33,"T","D",16.9,,,,
"Russia",96.29,"T","B",46.6,,,,
"Ethiopia",68.42,"T","D-",10.3,,,,
"Mexico",87.73,"T","C",30.7,1220,395,410,415
"Japan",106.48,"T","A-",58.9,1599,536,547,516
"Philippines",81.64,"T","C-",26.6,1058,355,356,347
"Egypt",76.32,"T","D+",21.6,,,,
"DR Congo",64.92,"T",,,,,,
"Vietnam",89.53,"T","C-",25.1,1403,469,472,462
"Iran",80.01,"T","C-",25.5,,,,
"Turkey",86.8,"T","C",33.4,1385,453,476,456
"Germany",100.74,"T","A",64.2,1447,475,492,480
"Thailand",88.87,"T","C-",29.2,1182,394,409,379
"Tanzania",74.95,"T","D-",14.4,,,,
"United Kingdom",99.12,"T","A",64.2,1483,489,500,494
"France",96.69,"T","A-",56.7,1435,474,487,474
"South Africa",68.87,"T","C",33,,,,
"Italy",94.23,"T","B",48,1430,471,477,482
"Kenya",75.2,"T","D",19.3,,,,
"Myanmar",91.18,"E",,,,,,
"Colombia",83.13,"T","C-",27.9,1203,383,411,409
"South Korea",102.35,"T","A-",56.4,1570,527,528,515
"Uganda",76.42,"T","D-",12.4,,,,
"Sudan",78.87,"T",,,,,,
"Spain",93.9,"T","B",49.8,1432,473,485,474
"Iraq",89.28,"T",,,,,,
"Algeria",76,"E","D",19.1,,,,
"Argentina",86.63,"T","B-",40.5,1185,378,406,401
"Afghanistan",82.12,"E",,,,,,
"Poland",96.35,"T","B",45.6,1477,489,499,489
"Canada",99.52,"T","A",61.2,1519,497,515,507
"Morocco",67.03,"T","D+",22.6,1069,365,365,339
"Ukraine",90.07,"T","C+",38.3,1319,441,450,428
"Angola",75.1,"T",,,,,,
"Saudi Arabia",76.36,"T","C",30.2,1162,389,390,383
"Uzbekistan",89.01,"T",,,1055,364,355,336
"Yemen",62.86,"T",,,,,,
"Mozambique",72.5,"E","D-",10.9,,,,
"Ghana",58.16,"T","D",17.4,,,,
"Peru",81.44,"T","C-",28,1207,391,408,408
"Malaysia",87.58,"T","C+",35.5,1213,409,416,388
"Nepal",42.99,"T","D",18.3,,,,
"Madagascar",76.79,"E","D-",9,,,,
"Ivory Coast",58.16,"E",,,,,,
"Venezuela",82.99,"T","C-",26.8,,,,
"Cameroon",67.76,"E","D",17.8,,,,
"Niger",70.82,"E",,,,,,
"Australia",99.24,"T","A",64,1492,487,507,498
"North Korea",98.82,"E",,,,,,
"Syria",74.41,"T",,,,,,
"Mali",59.76,"T","D-",9.9,,,,
"Taiwan",106.47,"T","B",45.7,1599,547,537,515
"Burkina Faso",73.8,"T",,,,,,
"Sri Lanka",86.62,"T","D+",23.2,,,,
"Malawi",69.7,"T","D-",10.7,,,,
"Zambia",68.43,"E","D",18.9,,,,
"Kazakhstan",88.89,"T","C+",35.1,1234,425,423,386
"Chile",87.89,"T","C+",37.8,1304,412,444,448
"Romania",86.88,"T","C+",39.4,1284,428,428,428
"Chad",78.87,"E","D-",10.3,,,,
"Somalia",67.67,"T",,,,,,
"Ecuador",78.26,"T","C-",25.3,,,,
"Guatemala",47.72,"T","D+",22.8,1091,344,373,374
"Senegal",77.37,"E","D-",13.2,,,,
"Netherlands",100.74,"T","A-",58.7,1440,493,488,459
"Cambodia",99.75,"T","D",16.1,1012,336,347,329
"Zimbabwe",74.01,"T","D-",11.7,,,,
"Guinea",53.48,"E","D-",6.8,,,,
"Rwanda",69.95,"E","D-",9.9,,,,
"Benin",69.71,"E","D-",12.8,,,,
"Burundi",72.09,"E","D-",8.8,,,,
"Bolivia",76.53,"T","D+",22.3,,,,
"Tunisia",79.22,"E","D+",24.8,,,,
"Haiti",82.1,"T",,,,,,
"Belgium",97.49,"T","A-",58.7,1459,489,491,479
"Dominican Republic",82.05,"T","D+",23.9,1050,339,360,351
"Jordan",80.7,"T","C-",26,1078,361,375,342
"South Sudan",58.61,"T",,,,,,
"Cuba",83.9,"T",,,,,,
"Honduras",62.16,"E","D+",20.2,,,,
"Sweden",97,"T","A",61.6,1463,482,494,487
"Papua New Guinea",78.49,"E",,,,,,
